ID,NOMESC,ENDESC,NUMESC,COMPLEND,CEP,FONE1,FONE2,FAX,E-Mail,CODESCMEC,TIPO
6471,JARDIM DA CONQUISTA EMEI,RUA RECANTO DOS HUMILDES,278,,05209-000,+55 11 3917-6399,+55 11 3917-4479,,,35122075,EMEI
6472,BRYAN BIGUINATI CEI,RUA FRANCISCO SOARES,27,,05774-300,+55 11 5816-3624,+55 11 5819-1571,,,35238727,CEI DIRET
6473,JAGUARE CEI INDIRETO,AV GENERAL MAC ARTHUR,50,,05338-000,+55 11 3714-9134,,,,35306514,CEI INDIR
6474,JARDIM JAQUELINE CEI INDIRETO,R BERGOGNONE,17,,05542-030,+55 11 3731-0068,,+55 11 3733-2881,,35309813,CEI INDIR
6475,RUI BLOEM EMEF,RUA ARMANDO FLAMARION COELHO,241,,05136-270,+55 11 3901-3800,+55 11 3904-4605,+55 11 3904-4605,,35054690,EMEF
6476,COLEGIO SIGLAN,RUA JOAO BATISTA FANTON,272,,05203-180,+55 11 3918-7563,,,cristale@terra.com.br,35192922,EP
6477,CHARBONNEAU PADRE EMEI,RUA FABIO DE ALMEIDA MAGALHAES,95,,05135-370,+55 11 3906-7055,+55 11 3903-5497,+55 11 3903-5497,,35095540,EMEI
6478,LIRIOS DO VALE CENTRO DE EDUCACAO INFANTIL,R JOAQUIM DE SOUSA,9,,05203-210,,,,,35450479,CR.P.CONV
6479,JARDIM IPANEMA CRECHE MUNICIPAL,RUA VIRGINIA GALILEI,107,,05187-060,+55 11 3941-3876,,+55 11 3946-2502,,35238036,CEI DIRET
6480,BUTANTA ELIZABETH GASPAR TUNALA PROFA CEU,AV ENG HEITOR ANTONIO EIRAS GARCIA,1870,,05588-001,,,,,35455714,CEU CLEC
6481,BUTANTA CEU EMEF,AV ENG HEITOR ANTONIO EIRAS GARCIA,1870,,05588-001,+55 11 3732-4526,,+55 11 3732-4526,,35056996,CEU EMEF
6482,BUTANTA CEU EMEI,AV ENG HEITOR ANTONIO EIRAS GARCIA,1870,,05588-001,+55 11 3732-4531,+55 11 3732-4528,+55 11 3732-4527,,35057022,CEU EMEI
6483,BUTANTA CEU CEI,AV ENG HEITOR ANTONIO EIRAS GARCIA,1870,,05564-000,+55 11 3732-4511,+55 11 3732-4512,,,35057034,CEU CEI
6484,TURMINHA DA MONICA ESCOLA,R QUARTETO DO IMPERADOR,137,,05853-390,,,,,35446191,EP
6485,ROSA MARIA CEI,RUA DO MAGISTERIO,70,,04930-040,+55 11 5891-9711,,,,35184007,CEI INDIR
6486,CENTRO ATEND SOCIOEDUC AO ADOLESCENTE CEDRO UI,RODOVIA RAPOSO TAVARES,KM 19,,05577-300,+55 11 3781-6044,,,,35113001,FEBEM-UI
6487,PAULO COLOMBO P QUEIROZ DESEMBARGADOR EMEF,RUA DOUTOR ABELARDO DA CUNHA LOBO,348,,05778-150,+55 11 5511-1640,+55 11 5512-0093,+55 11 5511-1640,,35053880,EMEF
6488,GILDO MARCAL BEZERRA BRANDAO ETEC,R PRESIDENTE VARGAS,SN,,05207-000,+55 11 3917-8751,+55 11 3917-8263,+55 11 3917-8751,,35439447,PAULA SOUZA
6489,ANTONIO BERNARDES DE OLIVEIRA PROFESSOR,R JEAN MAROT,12,,04917-040,+55 11 5514-3564,,+55 11 5514-6409,e044398a@educacao.sp.gov.br,35044398,EE
6490,VILA CLARICE CENTRO DE EDUCACAO INFANTIL,R DESEMBARGADOR JOAQUIM BANDEIRA DE MELLO,SN,,05171-500,+55 11 3902-3670,,+55 11 4323-8616,ceiclarice@terra.com.br,35562828,CEI INDIR
6491,CHACARA A PIMENTINHA E COLEGIO MEIRELLES LEME EIFM,AV OTACILIO TOMANIK,1241,,05363-101,+55 11 3714-5684,+55 11 3714-9900,,,35153564,EP
6492,MARIA APARECIDA VITA PIANTE PROFA EMEI,RUA JOAO FRANCISCO DE MELLO,SN,,05358-110,+55 11 3731-6049,+55 11 3733-4537,+55 11 3735-4386,,35207937,EMEI
6493,ANTONIO PEREIRA LIMA DR,R DO JUSA,1414,,04889-000,+55 11 5920-8952,+55 11 5920-2516,+55 11 5920-2516,e044465a@educacao.sp.gov.br,35044465,EE
6494,LEONIDAS HORTA DE MACEDO PROFESSOR,R MIGUEL RIBAS,11,,05187-270,+55 11 3942-0882,,,e904247a@educacao.sp.gov.br,35904247,EE
6495,INSTITUTO NACIONAL DE EDUCACAO CONTINUADA INAEC,AV DA LIBERDADE,21,11? ANDAR CON,01503-000,+55 11 3816-0525,,,anic@anic.com.br,35193768,EP
6496,CLEMENTE SEGUNDO PINHO PROFESSOR EMEI,RUA VIRGINIA GALILEI,100,,05187-060,+55 11 3941-0593,+55 11 3945-4203,+55 11 3941-1831,,35098437,EMEI
6497,PERA MARMELO CEU EMEF,RUA PERA-MARMELO,226,,05185-420,+55 11 3948-3950,+55 11 3948-3947,,,35058002,CEU EMEF
6498,PERA MARMELO CEU EMEI,RUA PERA-MARMELO,226,,05185-420,+55 11 3948-3921,+55 11 3948-3923,,,35058051,CEU EMEI
6499,PERA MARMELO CEU CEI,RUA PERA-MARMELO,226,,05185-420,+55 11 3948-3935,+55 11 3948-3934,,,35058063,CEU CEI
6500,TIA ANDREA CENTRO DE RECREACAO INFANTIL,R ANTONIO RAMOS ROSA,13,,05822-010,+55 11 5819-0005,,,,35266796,EP
6501,EGO ESCOLA,AV PRESIDENTE ALTINO,215,,05323-000,+55 11 3768-8404,+55 11 3768-7371,+55 11 3768-7371,,35176205,EP
6502,UNIAO SENIOR INSTITUTO DE EDUCACAO,R SAO CELESTINO,38,,05847-580,+55 11 5512-7328,,,uniaosenior@ig.com.br,35176667,EP
6503,SAO DOMINGOS SAVIO COLEGIO,AV INTERCONTINENTAL,200,,05525-060,+55 11 3751-3286,+55 11 3751-4768,+55 11 3751-3286,,35138988,EP
6504,ALFA HEBROM COLEGIO,MAJOR ALFREDO ROMAO,275,,05177-030,+55 11 3903-0111,+55 11 3904-7326,,cohebron@terra.com.br,35118989,EP
6505,AUGUSTO DE OLIVEIRA CENTRO DE EDUCACAO INFANTIL,R LEOPOLDINO JOSE DE CAMARGO,551,,05778-240,+55 11 5510-1174,,,,35395249,CR.P.CONV
6506,RECANTO DOS SABIDINHOS ESCOLA DE EDUCACAO INFANTIL,R SAO FIDELIS,2,,05335-100,+55 11 3714-2862,+55 11 3714-6474,,,35105348,EP
6507,MAE DE DEUS CENTRO DE EDUCACAO INFANTIL CONVENIADO,R ENG ARTUR DE MIRANDA,236,,05534-010,,,,,35433068,CR.P.CONV
6508,HENRIQUE DUMONT VILLARES,AV PRESIDENTE ALTINO,1131,,05323-001,+55 11 3714-3328,+55 11 3763-3502,+55 11 3714-3328,e004042a@educacao.sp.gov.br,35004042,EE
6509,ALIPIO CORREA NETO EMEF,AV JOAO CAIAFFA,140,,05742-100,+55 11 5842-3845,+55 11 5845-0121,+55 11 5845-0121,,35098462,EMEF
6510,QUINTAL MAGICO ESCOLA,RUA IRMA PIA,127,,05335-050,+55 11 3768-0509,,,,35198948,EP
6511,FRANCISCO BRASILIENSE FUSCO DOUTOR,R JARACATIA,941,,05754-071,+55 11 5845-2697,+55 11 5845-0833,+55 11 5845-0833,e039317a@educacao.sp.gov.br,35039317,EE
6512,MODELO COLEGIO UNIDADE II,RUA GENERAL LUCIDIO DE ARRUDA,8,,04930-030,+55 11 5518-3437,,,colegiomodelo@globo.com.br,35802761,EP
6513,ANTONIO CARLOS PACHECO E SILVA PROF EMEI,AV JOAO CAIAFFA,90,,05742-100,+55 11 5845-5113,+55 11 5842-5113,+55 11 5844-8902,,35098504,EMEI
6514,JORGE MAHFUZ CENTRO DE TREINAMENTO SENAI,R JERONIMO TELES JUNIOR,125,,05154-010,+55 11 3901-9300,,,senaipirituba@sp.senai.br,35148167,SENAI
6515,JARDIM DA CONQUISTA EMEF,R RECANTO DOS HUMILDES,SN,,05209-000,,,,,35346445,EMEF
6516,RECANTO DOS HUMILDES EMEI,R RECANTO DOS HUMILDES,SN,,05209-000,,,,,35424195,EMEI
6517,JAIRO DE ALMEIDA PROFESSOR EMEF,RUA RECANTO DOS HUMILDES,SN,,05209-000,+55 11 3915-6044,+55 11 3917-2538,+55 11 3917-2538,,35223141,EMEF
6518,RECANTO DOS HUMILDES CEI,RUA RECANTO DOS HUMILDES,SN,,05209-000,+55 11 3915-2865,+55 11 3919-1050,+55 11 3915-2865,,35280471,CEI DIRET
6519,PIPOCA E SAPECA DE SAO DOMINGOS EEI,RUA DOUTOR CARMINO CAPRICCHIO,69,,05368-000,+55 11 3735-5452,,,,35178494,EP
6520,MAE PEREGRINA CENTRO DE EDUCACAO INFANTIL,RUA YOSHIMARA MINAMOTO,1164,,05847-620,+55 11 5819-8984,,,,35444790,CR.P.CONV
6521,LUIZ TENORIO DE BRITO CORONEL EMEF,RUA BALDOMERO CARQUEJA,278,,05780-260,,+55 11 5512-0226,,,35053818,EMEF
6522,ARNALDO LAURINDO PROFESSOR,R ALTINO ALVES DE ABREU,110,,05822-000,+55 11 5514-6435,,+55 11 5890-0507,e046346a@educacao.sp.gov.br,35046346,EE
6523,O PEQUENO GALILEU ESCOLA DE EDUCACAO INFANTIL,R MIGUEL SEVILIO,175,,05379-180,+55 11 3719-1646,,,,35471860,EP
6524,JOSE OZI PROFESSOR CRECHE MUNICIPAL,RUA BARTOLOMEO VENETO,200,,05364-030,+55 11 3768-3587,,,,35238533,CEI DIRET
6525,ANTONIO ALVES VERISSIMO EMEFM,RUA MARTINO AROSIO,81,,05186-150,+55 11 3941-2988,,+55 11 3941-1534,,35092575,EMEFM
6526,JOSE ALTENFELDER SILVA PROFESSOR,R CARLOS ALBERTO VANZOLINI,397,,05103-060,+55 11 3625-1414,+55 11 3622-6586,,e000127a@educacao.sp.gov.br,35000127,EE
6527,CANDIDO PORTINARI EMEF,RUA GUILHERME CORREIA DE MELO,408,,05207-050,+55 11 3917-0746,+55 11 3918-8761,+55 11 3917-0746,,35055530,EMEF
6528,MARIA DAILCE MONTEIRO DA SILVA GOMES PROFESSORA EMEI,RUA MARTINO AROSIO,147,,05186-150,+55 11 3941-5366,,+55 11 3941-0853,,35200013,EMEI
6529,JARDIM ROSA MARIA CEI,RUA ADELINO BRANCO DE ANDRADE,37,,04930-070,+55 11 5893-0232,,,,35279341,CEI DIRET
6530,MARIA JOSE VASCONCELOS MANKEL CRECHE MUNICIPAL,AV INACIA DE TOLEDO,282,,05177-000,+55 11 3904-2543,+55 11 3901-1425,+55 11 3901-1425,,35238119,CEI DIRET
6531,ZENAIDE VILALVA DE ARAUJO PROFESSORA,R BELO JARDIM,674,,05159-200,+55 11 3904-0216,+55 11 3901-3415,,e000176a@educacao.sp.gov.br,35000176,EE
6532,CASINHA BRANCA NUCLEO RECREACAO INFANTIL,RUA SALLES GOMES,350,,05211-200,+55 11 3915-2264,,,,35813199,EP
6533,MARIA PECCIOLI GIANNASI PROFESSORA,R CATALDO PARRILHA,179,,04930-055,+55 11 5891-1586,,+55 11 5892-5002,e005236a@educacao.sp.gov.br,35005236,EE
6534,FLAVIO JOSE OSORIO NEGRINI PROFESSOR,R CASIMIRO,66,,05766-300,+55 11 5511-0283,+55 11 5510-9455,+55 11 5511-0283,e041737a@educacao.sp.gov.br,35041737,EE
6535,SANTA CLARA,R PRESGRAVE DO AMARAL,160,,05103-010,,,,,35574512,EDUCAÇÃO COMPLEMENTAR
6536,EDUCANDARIO SAO DOMINGOS CRECHE,RUA PRESGRAVE DO AMARAL,160,,05103-010,+55 11 3625-1326,,,,35182990,CR.P.CONV
6537,GAMA CENTRO EDUCACIONAL,R CARMEM ESCABIA MOTTA COELHO,18,,05832-230,+55 11 5515-2911,,,www.c.e.gama@ig.com.br,35320183,EP
6538,PEROLA ELLIS BYINGTON EMEI,RUA MAJOR ALFREDO ROMAO,65,,05177-030,+55 11 3901-5006,+55 11 3904-9080,+55 11 3904-9080,,35052188,EMEI
6539,NOVA ALVORADA RECREACAO E EDUCACAO INFANTIL,RUA DIAS DINIZ,15,,05775-160,+55 11 5513-9741,,,,35176904,EP
6540,JARDIM MUTINGA CRECHE,RUA FRANCISCO BELTRAO,2,,05159-230,+55 11 3904-2541,,,,35182874,CEI INDIR
6541,PERA MARMELO CEU,R PERA-MARMELO,225,,05185-420,,,,,35455386,CEU CLEC
6542,ANNA TAVARES COLEGIO EIEPG,R ANTONIO DE PADUA DIAS,689,,05202-070,+55 11 3917-0719,+55 11 3918-8370,,annatav@terra.com.br,35124709,EP
6543,NORBERTO ALVES RODRIGUES PROFESSOR,R CARMEM ESCABIA MOTTA COELHO,50,,05832-230,+55 11 5515-1271,,+55 11 5892-4666,e914745a@educacao.sp.gov.br,35914745,EE
6544,ALDO RIBEIRO LUZ PROFESSOR EMEF,RUA JEAN CORALLI,135,,05183-000,+55 11 3941-5008,,+55 11 3941-2335,,35068627,EMEF
6545,SOLEIL ESCOLA DE EDUCACAO INFANTIL E FUNDAMENTAL,ESTRADA DA RIVIERA,2210,,04916-000,+55 11 5833-1532,,+55 11 5833-1532,adm.aparecido@colegiosoleil.com.br,35176916,EP
6546,NIPO BRASILEIRA,R NESTOR DOS SANTOS LIMA,182,,05743-210,+55 11 5845-2437,+55 11 5845-1657,+55 11 5845-2437,e004972a@educacao.sp.gov.br,35004972,EE
6547,CP EDUCACIONAL COLEGIO,R COMENDADOR J.DE MATOS,313,,05177-100,+55 11 3902-2367,,+55 11 3941-1066,,35561125,EP
6548,PERUS CEU CEI,RUA BERNARDO JOSE DE LORENA,S/N,,05203-200,+55 11 3915-8717,+55 11 3917-8718,+55 11 3917-8718,,35058087,CEU CEI
6549,PERUS CEU,R BERNARDO JOSE DE LORENA,SN,,05203-200,,,,,35455465,CEU CLEC
6550,PERUS CEU EMEF,RUA BERNARDO JOSE DE LORENA,SN,,05203-200,+55 11 3915-8732,+55 11 3915-8773,,,35058075,CEU EMEF
6551,JORGE AMADO CEU EMEI,RUA BERNARDO JOSE DE LORENA,SN,,05203-200,+55 11 3915-8724,+55 11 3915-5425,+55 11 3915-8725,,35242226,CEU EMEI
6552,JAGUARE I,R FLORESTO BANDECCHI,156,,05336-010,,,,,35574478,EDUCAÇÃO COMPLEMENTAR
6553,EXTERNATO JAGUARE CRECHE,RUA FLORESTO BANDECCHI,156,,05336-010,+55 11 3763-2016,,+55 11 3768-0552,,35180397,CR.P.CONV
6554,GARATUJA CENTRO DE EDUCACAO INFANTIL,R ALESSANDRO BIBIENA,389,,05529-020,,,,,35464661,EP
6555,YVONE LEMOS DE ALMEIDA FRAGA CRECHE MUNICIPAL,RUA NEY GONZAGA LACERDA,17,,05368-040,+55 11 3735-6868,,,,35238569,CEI DIRET
6556,IBRAHIM NOBRE EMEF,RUA CORONEL SALVADOR DE MOYA,263,,05368-020,+55 11 3735-4381,+55 11 3731-6153,+55 11 3731-6153,,35053200,EMEF
6557,JEAN JACQUES ROUSSEAU COLEGIO,R PROFESSOR GILIO SATTIN,204,210 - 214,05379-150,+55 11 3714-4206,,,,35452543,EP
6558,ESPIRIDIAO ROSAS MARECHAL EMEF,RUA GUIMARAES ROSA,115,,05338-080,+55 11 3768-2898,+55 11 3766-4384,+55 11 3766-4384,,35053247,EMEF
6559,ACAO INSTITUTO EDUCACIONAL,AV LUCILO DE ALMEIDA,89,,05778-250,+55 11 5512-7738,,,,35341976,EP
6560,ALGO TAO DOCE CENTRO DE RECREACAO INFANTIL,R ARTHUR SOTER LOPES DA SILVA,603,,05367-140,+55 11 3763-3337,,,,35483722,EP
6561,GRANDE VITORIA CENTRO DE EDUCACAO INFANTIL,R DOM LINO DEODATO DE CARVALHO,312,,05208-060,+55 11 3941-5545,,,,35470880,CR.P.CONV
6562,ACOREANA COLEGIO,RUA JOSE JOAQUIM GONCALVES,821,,05850-210,+55 11 5514-2178,,,www.coord2010@bol.com.br,35172558,EP
6563,PARQUE REGINA CRECHE MUNICIPAL,RUA INACIO MANUEL TOURINHO,101,,05773-070,+55 11 5812-1694,+55 11 5816-3680,,,35238715,CEI DIRET
6564,SMALVILLE COLEGIO,R ROBERTO SELMI-DEI,79,,04931-010,+55 11 5891-5702,,,,35117766,EP
6565,LORENCO MANOEL SPARAPAN EMEF,RUA HOLDA BOTTO MALANCONI,431,,05853-310,+55 11 5512-0884,+55 11 5510-0188,+55 11 5513-9183,,35068834,EMEF
6566,GIORDANO BRUNO COLEGIO,RODOVIA RAPOSO TAVARES,14200,,05576-100,+55 11 3733-6677,+55 11 3722-0588,+55 11 3733-6677,,35124175,EP
6567,CENTRO DE EDUCACAO CULTURA INDIGENA CECI JARAGUA,RUA JOSE DE MATOS,386,,05177-100,+55 11 3902-3682,,+55 11 3902-3682,,35267181,CECI
6568,VITTORIO LUIZ COLEGIO,R DOM LINO DEODATO DE CARVALHO,342,,05208-060,+55 11 3915-5614,,,barbileonel@uol.com.br,35813278,EP
6569,GRANDE PRINCIPE CENTRO DE EDUCACAO INFANTIL CONVENIADA,RUA GONCALVES DE ANDRADE,221,,05211-210,+55 11 3915-5505,,,,35432623,CR.P.CONV
6570,JARDIM CAMPO LIMPO O,R CARAIVA,253,,05766-270,+55 11 5842-1938,,,e478416a@educacao.sp.gov.br,35478416,EE
6571,OLIVEIRA LIMA EMEI,RUA ANTONIO MAIA,476,,05204-110,+55 11 3917-9286,+55 11 3917-0011,,,35052929,EMEI
6572,CURUMIM INSTITUTO EDUCACIONAL,RUA CRISPO,46,,05834-080,+55 11 5893-1191,,+55 11 5891-3779,iecsecretaria@superig.com.br,35176989,EP
6573,MARIA LINA INSTITUTO EDUCACIONAL,R GERALDO BETING,130,,05849-330,+55 11 5511-7782,,,,35457656,EP
6574,LEONOR FERNANDES COSTA ZACHARIAS,R ENRIQUE AMORIM,101,,04894-410,+55 11 5978-6382,+55 11 5978-6241,,e906591a@educacao.sp.gov.br,35906591,EE
6575,CRIANCA E CIA ESCOLA DE EDUCACAO INFANTIL,R CANAMARI,15,,05755-100,+55 11 5842-4726,,,,35292655,EP
6576,PEQUENO PRINCIPE CENTRO EDUCACIONAL INFANTIL,RUA ANTONIO MAIA,550,,05204-110,+55 11 3919-1203,,,,35813291,CEI INDIR
6577,PAULO NOGUEIRA FILHO,R ADAO GONCALVES,70,,05105-010,+55 11 3625-1415,+55 11 3622-6241,,e037667a@educacao.sp.gov.br,35037667,EE
6578,TEREZA GIL DE MOURA INSTITUTO EDUCACIONAL,RUA ANTONIO MAIA,523,,05204-110,+55 11 3917-2938,,,roberto.carbajo@terra.com.br,35159281,EP
6579,MADRE CAMILA NUCLEO CRECHE II,AV GENERAL MAC ARTHUR,1450,,05338-000,+55 11 3768-3557,,,,35180439,CR.P.CONV
6580,DJEKUPE AMBA ARANDY,EST TURISTICA DO JARAGUA,3710,,05161-000,+55 11 3903-5924,,,e559210a@educacao.sp.gov.br,35559210,EEI
6581,ARTES E LETRAS ESCOLA DE EDUCACAO INFANTIL,R GUARAMEMBE,336,,05754-060,+55 11 5845-1526,,,,35560388,EP
6582,ZULMIRA CAVALHEIRO FAUSTINO EMEF,RUA MELO COUTINHO,69,,05775-230,+55 11 5511-4148,+55 11 5812-5870,+55 11 5511-4148,,35054112,EMEF
6583,HORAS FELIZES CENTRO DE RECREACAO INFANTIL,R DOUTOR ANTONIO ROBERTO NETO,269,,05366-160,+55 11 3735-9812,,,,35814210,EP
6584,JAGUARE EMEI,AV PRESIDENTE ALTINO,SN,,05323-000,+55 11 3766-3016,,,,35296636,EMEI
6585,SYNESIO ROCHA MINISTRO EMEF,RUA JARACATIA,448,,05754-070,+55 11 5845-1107,+55 11 5845-2682,+55 11 5845-2682,,35054033,EMEF
6586,PADRE ANCHIETA ESCOLA DE EDUCACAO INFANTIL,RUA MIGUEL JURNO,81,,05527-050,+55 11 3751-3280,,,,35178469,EP
6587,JOAO PEDRO RODRIGUES CRECHE,RUA JOAO MANOEL VAZ,11,,04930-250,+55 11 5833-5519,+55 11 5518-0289,,,35184032,CR.P.CONV
6588,SOBRINHO COLEGIO,RUA ENG ROBERTO BARBETTA,30,,05851-190,+55 11 5515-2198,,,,35388142,EP
6589,QUERUBINS DA VITORIA II CENTRO DE EDUCACAO INFANTIL,R GABINO EZEIZA,105,,05187-600,+55 11 3941-5762,,,,35472487,CR.P.CONV
6590,ALBERTINA DE SOUSA CENTRO DE EDUCACAO INFANTIL,R JESUINO CASSIA DE LUSTOSA,84,,05208-030,+55 11 3918-8792,,,,35473200,CR.P.CONV
6591,JOAO NEGRAO CEL EMEI,RUA FRANCISCO LEITE ESQUERDO,30,,05528-040,+55 11 3751-0224,+55 11 3751-5587,+55 11 3751-5587,,35084360,EMEI
6592,JOAO PE DE FEIJAO CENTRO DE EDUCACAO INFANTIL,R MARCELINO FERREIRA BUENO,306,,05208-050,+55 11 3918-6187,,,,35497174,CR.P.CONV
6593,ASSIS CHATEAUBRIAND EMEI,RUA CARANANDINA,30,,05754-020,+55 11 5843-1053,+55 11 5845-0680,+55 11 5842-3638,,35052279,EMEI
6594,SINHAZINHA MEIRELLES CRECHE CENTRO COMUNITARIO,AV JOSE JOAQUIM SEABRA,1245,,05364-000,+55 11 3765-2731,,,,35180750,CR.P.CONV
6595,PINGO DE OURO CENTRO DE EDUCACAO INFANTIL,R CARLOS SANTOS XAVIER DE MORAES,115,,05204-120,+55 11 0520-4120,,,,35495177,CR.P.CONV
6596,VIANNA MOOG EMEF,RUA FRANCISCO L ESQUERDO,310,,05528-040,+55 11 3751-5579,+55 11 3751-1620,+55 11 3751-5579,,35098498,EMEF
6597,PARQUE SANTA MARGARIDA CRECHE MUNICIPAL,RUA CAPAO REDONDO,80,,04931-100,+55 11 5832-6446,+55 11 5891-3095,,,35239112,CEI DIRET
6598,DANIEL PAULO VERANO PONTES PROFESSOR,AV JOSE JOAQUIM SEABRA,1187,,05364-000,+55 11 3768-0900,+55 11 3763-3461,+55 11 3768-0900,e004091a@educacao.sp.gov.br,35004091,EE
6599,SOLON BORGES DOS REIS,AV JOSE JOAQUIM SEABRA,1187 A,,05364-000,+55 11 3763-5076,+55 11 3763-3458,+55 11 3763-5076,e924271a@educacao.sp.gov.br,35924271,EE
6600,OLIVEIRA FERREIRA COLEGIO,R BRAZ BALTAZAR DA SILVEIRA,132,143,05208-160,+55 11 3918-5584,+55 11 3917-0897,,colegiooliveiraf@globo.com,35293532,EP
6601,MARIO SETTE EMEI,RUA ANTONIO BAUSCHERT,66,,05850-120,+55 11 5816-8506,+55 11 5513-4098,+55 11 5511-5795,,35052346,EMEI
6602,OTONIEL MOTA EMEF,RUA RAIMUNDO FRANKLIN DE MELO,184,,05850-270,+55 11 5511-3424,+55 11 5511-1435,,,35053934,EMEF
6603,EULALIA SILVA PROFESSORA,R AMARO ANTONIO DE ARAUJO,337,,04931-030,+55 11 5892-5001,,+55 11 5514-0308,e036274a@educacao.sp.gov.br,35036274,EE
6604,RECRIARTE COLEGIO,RUA MADRE MARIA VILLAC,244,,05108-190,+55 11 3625-1977,,,colegiorecriarte@gmail.com,35300019,EP
6605,SUZANA DE CAMPOS DONA,R ANTONIO MAIA,691,,05204-110,+55 11 3917-0757,+55 11 3915-6049,,e000061a@educacao.sp.gov.br,35000061,EE
6606,JARDIM UMARIZAL CRECHE MUNICIPAL,RUA ECAUNA,139,,05754-040,+55 11 5844-4089,+55 11 5844-8884,,,35238910,CEI DIRET
6607,JOSE LINS DO REGO,EST DO M BOI MIRIM,2463,,04905-022,+55 11 5892-5276,,+55 11 5514-0115,e038295a@educacao.sp.gov.br,35038295,EE
6608,ORLANDO MENDES DE MORAES PROFESSOR,EST DA BARONESA,100,,04941-175,+55 11 5517-1865,,+55 11 5517-0278,e005265a@educacao.sp.gov.br,35005265,EE
6609,JARDIM CAPELA IV,EST DA BARONESA,100,,04941-175,+55 11 5517-3801,+55 11 5517-2117,,e191224a@educacao.sp.gov.br,35191224,EE
6610,NOVA ESPERANCA CENTRO DE EDUCACAO INFANTIL,EST TURISTICA DO JARAGUA,2400,,05161-000,+55 11 3431-2721,,,ceinovaesperanca@yahoo.com.br,35562907,CR.P.CONV
6611,SABEDORIA COLEGIO,R CARANDAZINHO,172,,05766-280,+55 11 5844-5722,,,,35495943,EP
6612,CIRANDINHA PROGRAMA DE DESENVOLVIMENTO INFANTIL,AV DAS COLMEIAS,122,,05756-350,+55 11 5841-7930,,,,35156644,EP
6613,LAR DE AMOR MEI MEI CRECHE,RUA JULIO LOURENCO PINTO,42,,05851-240,+55 11 5816-6600,,,,35184251,CR.P.CONV
6614,EUDORO VILLELA,EST GUAVIRUTUBA,600,,04937-000,+55 11 5831-7057,+55 11 5831-9398,,e191905a@educacao.sp.gov.br,35191905,EE
6615,MARTINS MOURAO COLEGIO,R LAET DE TOLEDO CESAR,20B,,05851-250,+55 11 5515-2729,,,,35266802,EP
6616,LAR PAULO DE TARSO CRECHE,AV RIO PEQUENO,1235,,05379-000,+55 11 3766-9680,,,,35180804,CR.P.CONV
6617,MADRE CAMILA NUCLEO CRECHE I,RUA FREI PAULO DE SOROCABA,164,,05340-020,+55 11 3768-3557,,+55 11 3763-6317,,35180427,CR.P.CONV
6618,SEIVA MASTER ESCOLA,RUA BARAO NICOLINO BARRA,108,,05849-190,+55 11 5511-6620,,+55 11 5510-0391,escolaseiva@ig.com.br,35150290,EP
6619,HELIO MOTTA DOUTOR,R CANORI,30,,05765-170,+55 11 5841-4865,+55 11 5844-6552,+55 11 5841-4865,e035634a@educacao.sp.gov.br,35035634,EE
6620,GUMERCINDO DE PADUA FLEURY CRECHE MUNICIPAL,RUA RAIMUNDO FRANKLIN DE MELO,300,,05850-270,+55 11 5816-6759,+55 11 5819-1504,,,35239159,CEI DIRET
6621,JOAO BATISTA DE CARVALHO MONSENHOR,R CRISTIANIA,13,,05834-090,+55 11 5514-0167,,+55 11 5892-5390,e005484a@educacao.sp.gov.br,35005484,EE
6622,MARIA DE LURDES CENTRO DE EDUCACAO INFANTIL,R JULIO CESAR LEAL,199,,05208-000,+55 11 3918-7545,,,,35476572,CR.P.CONV
6623,TARSILA DO AMARAL EMEF,RUA NATAL PIGASSI,787,,05527-000,+55 11 3751-5250,+55 11 3751-0223,+55 11 3751-2540,,35053272,EMEF
6624,PAZ COLEGIO DA,RUA RAPHAEL DI SANDRO,44,,05204-160,+55 11 3915-5810,,,elaynemathias@terra.com.br,35299583,EP
6625,FONTE DE ENSINO COLEGIO,AV LEITAO DA CUNHA,608,,05775-200,+55 11 5816-5526,,,fonteensino@uol.com.br,35810629,EP
6626,HENRIQUE GEISEL GENERAL EMEF,RUA MIGUEL PEREIRA LANDIM,253,,05158-000,,+55 11 3904-0688,+55 11 3904-0688,,35055505,EMEF
6627,ALLAN KARDEC INSTITUTO DE EDUCACCAO,RUA CAPAO REDONDO,1,,04931-100,+55 11 5893-1062,,+55 11 5514-3220,,35125829,EP
6628,CAROLINA RENNO R OLIVEIRA PROFA EMEF,RUA JOAO FERREIRA DA SILVA,99,,04931-070,+55 11 5514-0049,+55 11 5514-6823,+55 11 5514-0049,,35054318,EMEF
6629,SAO FRANCISCO DE ASSIS CRECHE PART CONV,RUA ANIS CHAKUR,175,,05528-110,+55 11 3751-3397,,,,35305112,CR.P.CONV
6630,MANUEL BANDEIRA,R JULIO CESAR LEAL,15,,05208-000,+55 11 3917-0708,+55 11 3915-6911,,e036959a@educacao.sp.gov.br,35036959,EE
6631,ANTONIO RAPOSO TAVARES EMEI,AV MUTINGA,4855,,05110-000,+55 11 3621-9460,+55 11 3621-5263,,,35052176,EMEI
6632,VILA PERUS CRECHE MUNICIPAL,RUA GONCALVES DE ANDRADE,560,,05211-210,+55 11 3917-8423,+55 11 3917-0755,,,35238090,CEI DIRET
